


      V      p      q    F E    B E    SCC    V S    E S  V S 2  E S 2
   1000   0.01   0.01   4824     47    566    435    434      1      0
   1000   0.01  0.005   4850     21    792    209    208      1      0
   1000   0.01   0.02   4765    106    456    545    544      1      0
   1000   0.01    0.1   4386    485    157    844    843      1      0
    400    0.1   0.01   7855     80     24    377    376      1      0
    400    0.1  0.004   7968     32     71    330    329      1      0
    400    0.1   0.06   7517    483      2    399    398      1      0
    400    0.1   0.03   7754    246     11    390    389      1      0


      V      p      q    F E    B E    SCC    V S    E S  V S 2  E S 2
   1000   0.01   0.01   4942     43    577    424    423      1      0
   1000   0.01  0.005   4968     17    709    292    291      1      0
   1000   0.01   0.02   4886     99    401    600    599      1      0
   1000   0.01    0.1   4510    475    120    881    880      1      0
    400    0.1   0.01   7834     72     29    372    371      1      0
    400    0.1  0.004   7876     30     34    367    366      1      0
    400    0.1   0.06   7431    475      5    396    395      1      0
    400    0.1   0.03   7670    236      7    394    393      1      0


      V      p      q    F E    B E    SCC    V S    E S  V S 2  E S 2
   1000   0.01   0.01   4942     51    536    465    464      1      0
   1000   0.01  0.005   4966     27    631    370    369      1      0
   1000   0.01   0.02   4893    100    340    661    660      1      0
   1000   0.01    0.1   4504    489    134    867    866      1      0
    400    0.1   0.01   7944     79     14    387    386      1      0
    400    0.1  0.004   7991     32     24    377    376      1      0
    400    0.1   0.06   7549    474      3    398    397      0      0
    400    0.1   0.03   7780    243      5    396    395      1      0


      V      p      q    F E    B E    SCC    V S    E S  V S 2  E S 2
   1000   0.01   0.01   4938     52    497    504    503      1      0
   1000   0.01  0.005   4964     26    659    342    341      1      0
   1000   0.01   0.02   4896     94    356    645    644      1      0
   1000   0.01    0.1   4477    513    104    897    896      1      0
    400    0.1   0.01   7951     68     15    386    385      1      0
    400    0.1  0.004   7991     28     27    374    373      1      0
    400    0.1   0.06   7562    457      3    398    397      1      0
    400    0.1   0.03   7780    239      8    393    392      1      0


      V      p      q    F E    B E    SCC    V S    E S  V S 2  E S 2
   1000   0.01   0.01   5046     55    471    530    529      1      0
   1000   0.01  0.005   5076     25    633    368    367      1      0
   1000   0.01   0.02   4998    103    419    582    581      1      0
   1000   0.01    0.1   4589    512    119    882    881      1      0
    400    0.1   0.01   7782     98     22    379    378      1      0
    400    0.1  0.004   7838     42     52    344    343      1      0
    400    0.1   0.06   7454    495      4    397    396      1      0
    400    0.1   0.03   7725    224     16    385    384      1      0

      V      p      q    F E    B E    SCC    V S    E S  V S 2  E S 2
   1000   0.01   0.01   5039     51    543    458    457      1      0
   1000   0.01  0.005   5065     25    872    122    121      1      0
   1000   0.01   0.02   4998     92    435    566    565      1      0
   1000   0.01    0.1   4583    507    125    876    875      1      0
    400    0.1   0.01   7886     78     24    377    376      1      0
    400    0.1  0.004   7938     26     55    346    345      1      0
    400    0.1   0.06   7447    517      3    398    397      0      0
    400    0.1   0.03   7692    272      7    394    393      1      0


