      V      p      q    F E    B E    SCC    V S    E S  V S 2  E S 2
   1000   0.01   0.01   5039     51    543    458    457      1      0
   1000   0.01  0.005   5065     25    872    122    121      1      0
   1000   0.01   0.02   4998     92    435    566    565      1      0
   1000   0.01    0.1   4583    507    125    876    875      1      0
    400    0.1   0.01   7886     78     24    377    376      1      0
    400    0.1  0.004   7938     26     55    346    345      1      0
    400    0.1   0.06   7447    517      3    398    397      0      0
    400    0.1   0.03   7692    272      7    394    393      1      0


