      V      p      q    F E    B E    SCC
   1000   0.01   0.01   4950     56    522
   1000   0.01  0.005   4980     26    668
   1000   0.01   0.02   4902    104    364
   1000   0.01    0.1   4516    490    126
    400    0.1   0.01   7977     84     20
    400    0.1  0.004   8031     30     33
    400    0.1   0.06   7584    477      3
    400    0.1   0.03   7822    239      5
    
    
      V      p      q    F E    B E    SCC
   1000   0.01   0.01   4904     42    573
   1000   0.01  0.005   4925     21    704
   1000   0.01   0.02   4838    108    431
   1000   0.01    0.1   4361    504    132
    400    0.1   0.01   8106     84     27
    400    0.1  0.004   8158     32     57
    400    0.1   0.06   7704    486      1
    400    0.1   0.03   7942    248      6
    
    
      V      p      q    F E    B E    SCC
   1000   0.01   0.01   5013     53    525
   1000   0.01  0.005   5038     28    637
   1000   0.01   0.02   4957    109    404
   1000   0.01    0.1   4563    503    129
    400    0.1   0.01   7813     81     23
    400    0.1  0.004   7863     31     43
    400    0.1   0.06   7431    463      5
    400    0.1   0.03   7663    231      7
    
    
      V      p      q    F E    B E    SCC
   1000   0.01   0.01   5054     58    498
   1000   0.01  0.005   5082     30    601
   1000   0.01   0.02   5001    111    337
   1000   0.01    0.1   4613    499    130
    400    0.1   0.01   7854     84     26
    400    0.1  0.004   7909     29     46
    400    0.1   0.06   7425    513      6
    400    0.1   0.03   7670    268     12
    
    
      V      p      q    F E    B E    SCC
   1000   0.01   0.01   4918     61    496
   1000   0.01  0.005   4949     30    686
   1000   0.01   0.02   4865    114    395
   1000   0.01    0.1   4479    500    136
    400    0.1   0.01   7821     70     21
    400    0.1  0.004   7857     34     47
    400    0.1   0.06   7428    463      2
    400    0.1   0.03   7650    241      6
    
    
      V      p      q    F E    B E    SCC
   1000   0.01   0.01   4879     46    625
   1000   0.01  0.005   4902     23    826
   1000   0.01   0.02   4818    107    406
   1000   0.01    0.1   4446    479    139
    400    0.1   0.01   7798     80     30
    400    0.1  0.004   7847     31     47
    400    0.1   0.06   7394    484      3
    400    0.1   0.03   7635    243     11
